Batch Size,True Class,Pred Energy,Pred Entertainment,Pred Health,Pred Other,Pred Safety,Pred (invalid)
1,Energy,496,7,39,92,6,0
1,Entertainment,21,425,13,162,19,0
1,Health,15,4,386,201,34,0
1,Other,73,51,59,412,43,2
1,Safety,6,1,14,73,546,0
2,Energy,511,8,24,91,4,2
2,Entertainment,25,419,10,168,16,2
2,Health,14,6,360,232,27,1
2,Other,83,42,44,421,50,0
2,Safety,6,0,10,80,543,1
4,Energy,496,5,23,109,3,4
4,Entertainment,19,418,14,168,18,3
4,Health,15,5,357,226,37,0
4,Other,81,52,32,427,44,4
4,Safety,3,1,14,80,541,1
8,Energy,503,2,23,111,1,0
8,Entertainment,17,413,6,187,16,1
8,Health,8,5,358,235,34,0
8,Other,74,35,36,449,46,0
8,Safety,2,1,10,79,548,0
16,Energy,499,0,22,113,4,2
16,Entertainment,14,401,8,198,18,1
16,Health,8,4,350,246,32,0
16,Other,67,37,34,455,47,0
16,Safety,6,0,9,67,557,1
32,Energy,496,0,20,119,3,2
32,Entertainment,13,389,10,207,19,2
32,Health,11,10,341,241,35,2
32,Other,67,22,42,456,48,5
32,Safety,4,1,7,73,552,3
64,Energy,461,5,24,125,3,22
64,Entertainment,17,372,17,200,19,15
64,Health,11,4,339,241,28,17
64,Other,56,32,36,453,49,14
64,Safety,4,3,6,71,531,25
